job_title,job_link,job_description,companyname,location,experience,salary,type,skills,startdate,enddate,created,source,timestamp,educational qualification,CGPA,10th percentage,12th percentage,Internships,HistoryOfBacklogs,passingyear,carrergapyear
TECHNICAL ARCHITECT,http://www.timesjobs.com/candidate/JobDetailView.html?adId=MMaprRxukjFzpSvf__PLUS__uAgZw==&bc=INT&searchName=inner&from=submit&txtKeywords=&fnm=JB,Meeting with the IT manager to determine the companys current and future needs.Determining whether the current system can be upgraded or if a new system needs to be installed.Providing the company with design ideas and schematics.Project managing the design and implementation of the system.Meeting with the software developers to discuss the system software needs.Troubleshooting systems issues as they arise.Overseeing all the moving parts of the system integration.Measuring the performance of the upgraded or newly installed system.Training staff on system procedures.Providing the company with post-installation feedback.,Electrobrain modern technologies pvt ltd,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",5 - 10 yrs,15,LPA,"Accounts Receivable, General Ledger, Oracle Finance Functional, Account Payables",,"Feb 19, 2023 12:00:00 AM",,timesjobs,1671816244,B.E(Computer science),>6,80,80,0,0,2024,1
,,,,,,,,,,,,,,,,,,,,,
Security Architect,http://www.timesjobs.com/candidate/JobDetailView.html?adId=mEfhIjG23ctzpSvf__PLUS__uAgZw==&bc=INT&searchName=inner&from=submit&txtKeywords=&fnm=JB,"Extensive experience in cyber security and technology risk management with a focus on designing security controls, performance, and reliability.At least 8 years of relevant technical experience and experience of working in a large corporate environment.Solid understanding of system and application design, security controls, cryptography, IAM, authentication, authorization, Cloud and infrastructure security, Logging & Monitoring and network security, including Threat modelling.Good working knowledge of current IT risks and experience implementing security solutionsExperience designing security controls in modern systems and architectures on cloud, hybrid infrastructure and partnering with third parties for SaaS usage and integration.Create security and design patterns as required on a broad set of cloud and other technologiesAbility to interact with a broad cross-section of personnel to explain and enforce security measures and make security-related design decisions.Participate and contribute in design-related forums such as Tech Design Authorities and related working groups and manage all governance requirements.Contribute to enterprise security strategy and define how that applies to Group FunctionsWork with the solution architects to apply secure-by-design practicesHelp with the education and training of the solution architects to become security championsWork closely with the enterprise security architects to promote standardization through technology reuseProvide oversight of GB/GFs projects to ensure alignment to enterprise security architecture and correct consideration of cyber security has been factored into the designProvide end-to-end ownership of security solutions delivered to meet requirements, delivering the architecture required to realize both functional and non-functional capabilities that aligns to the overall security architectureAbility to create clear, concise proposals for solutions and brokering agreements across multiple stakeholdersStrong experience of working with stakeholders across multiple disciplines; business analysts, product owners, testing teams and wider technical stakeholdersDemonstrates excellent situational awareness and ability to appropriately react to a changing landscapePerformance-driven nature and excellent problem-solving capabilityAbility to understand and further explain complex technical concepts.",Electrobrain modern technologies pvt ltd,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",5 - 10 yrs,9,LPA,"Cryptography, Threat Modeling, IAM, Information Security, Network Security, Application Security, Cloud Security",,"Feb 19, 2023 12:00:00 AM",,timesjobs,1671816244,B.Tech,>7,50,50,1,1,anydegree,1
,,,,,,,,,,,,,,,,,,,,,
"AWS Administrator,AWS Architect,AWS Devloper",http://www.timesjobs.com/candidate/JobDetailView.html?adId=jgaJOuvNKeFzpSvf__PLUS__uAgZw==&bc=INT&searchName=inner&from=submit&txtKeywords=&fnm=JB,"- At least 5 7 years of PM experience- Hands-on technical experience in broad range of technologiesExperience in managing Cloud projects preferably AWS cloud environment.Preferable experience in managing cloud migration projects.Experience with private and public cloud architectures, pros/cons, and migration considerations.Good understanding of the data architecture, integration and various industry frameworksBroad infra and technical architecture background. Familiarity and knowledge of cloud native platforms and technologies, abreast with industry trends",Electrobrain modern technologies pvt ltd,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",3 - 8 yrs,8,LPA,"Aws Cloudformation, Project Management, Cloud, Architecting, Data Architecture, Technical Project manager, Technical Architecture, Vcloud, Aws, Puppet, Python, Linux",,"Feb 19, 2023 12:00:00 AM",,timesjobs,1671816244,BMSc,>7,70,70,3,1,anydegree,0
,,,,,,,,,,,,,,,,,,,,,
ARCHITECT ENGINEER,http://www.timesjobs.com/candidate/JobDetailView.html?adId=c0Sme5d40qRzpSvf__PLUS__uAgZw==&bc=INT&searchName=inner&from=submit&txtKeywords=&fnm=JB,"Experience in Telecom sector will be a big plusSound knowledge with authorization and authentication approaches like oAuth, SSO/SAMLFoundational experience with service orchestration and messaging technologyAbility to apply long term perspective and strategy to tactical situationsExperience with end to end API Platform setup and implementationExperience with Agile development methodologiesExcellent Analytical and problem solving skillsStrong communication skillsT chelors Degree in Computer Science, Engineering or equivalent experienceT",MACKENZIE MODERN IT SOLUTIONS PVT LTD,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",4 - 9 yrs,4,LPA,"Python, c ++, Revit, Java, Project Management, SAN, SOC, CPU, Windows, Linux, Design Development, AWS, Engineering Design",,"Feb 19, 2023 12:00:00 AM",,timesjobs,1671816244,M.Tech,>6,60,60,1,0,2024,0
,,,,,,,,,,,,,,,,,,,,,
ServiceNow Tech Architect,http://www.timesjobs.com/candidate/JobDetailView.html?adId=hgJHFfuHaXdzpSvf__PLUS__uAgZw==&bc=INT&searchName=inner&from=submit&txtKeywords=&fnm=JB,"Mandatory 5+ years of Specialty Software Engineering experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, educationMandatory 5+ years of ServiceNow Development, Design, or Implementation experienceAtleast two mainline valid ServiceNow CertificationsResponsible for the technical specification and implementation of the ServiceNow integrationCandidate will understand business requirement from client, as well as TechM sales team and provide/prepare ServiceNow solution accordingly. This solution may contain preparation of High-Level Design / Low-level design document, preparing documents to provide response to Customers Request for Proposals.Candidate should have working knowledge of ServiceNow platform for major modules like ITSM, CMDB and Custom Scoped Applications.Candidate should have experience working in Telecommunication domain and implementation of ServiceNow in Telecommunication domain.Candidate should have experience in loading complex and large data into ServiceNow CMDB and understand the concepts of Data profiling and Data quality - Assess CMDB and CSDM alignment with the productCandidate should be part of Centre of Excellence team to provide value add in ServiceNow delivery, develop ServiceNow accelerators, shadow train associates in ServiceNow Administration and Development.Provide expertise on all technical questions related to development on of ServiceNowProvide design and code review for developersDevelops the technical solutions, implements them, and performs the component integration testsFamiliarity with Agile and Waterfall project management methodologiesUnderstand the business needs and the needs to standardize processes, and build this into the designUnderstand the large-scale thinking and approach needed for success of the projectExpertise level understanding of ServiceNow requiredExpertise level programming skills Jelly, Glide and JavaScriptDigital transformation covering automation of processes and fulfilment, third party integrations and orchestration, implementation of CSM/HR/ITBM, PPM/SecOps etc.Custom applications developmentBuilding sustainable CMDB with ServiceNow Discovery or other discovery toolsBuilding Service Catalog with Service Portal and fulfilment automationIntegrating ServiceNow with cloud service providers' platformsConfigure and customize ServiceNow platform in all the following modules:Service CatalogIncident, Problem, Change, Release and KnowledgeService PortalSLMCMDBConfigure and customize ServiceNow platform in at least one of complementary modules HR/SecOps/Discovery/etc.Estimate workload, dependencies and prioritize user stories for development across the team of developersImplement requirements into working codeIntegrate ServiceNow with other corporate applications via web services, mid server, email etc.Prepare test cases, automate and execute themBuild responsive web applicationsDevelop middleware API calls for mobile/web applicationsDevelop server side scripts in Apache/Jelly/ServiceNow proprietary, Build flows",MACKENZIE MODERN IT SOLUTIONS PVT LTD,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",5 - 10 yrs,19,LPA,"ServiceNow Certifications, Custom Scoped Applications, CMDB, ITSM",,"Feb 19, 2023 12:00:00 AM",,timesjobs,1671816244,Any degree,>7,60,60,0,1,2024,1
,,,,,,,,,,,,,,,,,,,,,
DevOps Engineer,http://www.timesjobs.com/candidate/JobDetailView.html?adId=WMtelzfS3ShzpSvf__PLUS__uAgZw==&bc=INT&searchName=inner&from=submit&txtKeywords=&fnm=JB,"Understanding customer requirements and project KPIsImplementing various development, testing, automation tools, and IT infrastructurePlanning the team structure, activities, and involvement in project management activities.Managing stakeholders and external interfacesSetting up tools and required infrastructureDefining and setting development, test, release, update, and support processes for DevOps operationHave the technical skill to review, verify, and validate the software code developed in the project.Troubleshooting techniques and fixing the code bugsMonitoring the processes during the entire lifecycle for its adherence and updating or creating new processes for improvement and minimizing the wastageEncouraging and building automated processes wherever possibleIdentifying anddeploying cybersecurity measures by continuously performing vulnerability assessment and risk managementIncidence management and root cause analysisCoordination and communication within the team and with customersSelecting and deployingappropriate CI/CD toolsStrive for continuous improvement and build continuous integration, continuous development, and constant deployment pipeline (CI/CD Pipeline)Mentoring and guiding the team members Monitoring and measuring customer experience and KPIsManaging periodic reporting on the progress to the management and the customer",MACKENZIE MODERN IT SOLUTIONS PVT LTD,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR",4 - 9 yrs,13,LPA,"Communication, Collaboration, Soft Skills, Noble Thought, Relevant Tools, Automation Skills",,"Feb 19, 2023 12:00:00 AM",,timesjobs,1671816244,B.E(Computer science),>6.5,60,60,2,0,2024,0
,,,,,,,,,,,,,,,,,,,,,
